
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2021-09-22	47	63	20	40	55	5
2021-09-25	37	23	62	22	63	19
2021-09-27	44	21	22	39	60	12
2021-09-29	32	17	2	7	11	11
2021-10-02	42	38	47	52	28	1
2021-10-04	66	12	22	54	69	15
2021-10-06	17	64	52	1	58	1
2021-10-09	62	12	30	17	45	5
2021-10-11	20	11	33	39	65	24
2021-10-13	47	23	59	29	60	15
2021-10-16	30	48	31	41	42	3
2021-10-18	53	30	63	48	32	12
2021-10-20	7	41	29	43	36	5
2021-10-23	30	10	57	63	51	20
2021-10-25	29	58	44	10	27	24
2021-10-27	3	26	51	35	6	17
2021-10-30	56	23	28	5	43	19
2021-11-01	44	9	25	34	45	8
2021-11-03	50	1	57	24	2	26
2021-11-06	64	8	48	30	57	9
2021-11-08	47	46	62	57	21	8
2021-11-10	46	25	43	48	19	14
2021-11-13	45	15	35	26	8	9
2021-11-15	53	31	51	34	5	23
2021-11-17	48	3	60	16	52	1
2021-11-20	48	59	40	69	43	19
2021-11-22	7	67	20	29	38	22
2021-11-24	65	16	63	10	32	17
2021-11-27	32	55	66	64	8	10
2021-11-29	28	26	18	38	47	17
2021-12-01	12	57	38	15	63	24
2021-12-04	56	45	10	40	67	2
2021-12-06	3	21	59	50	38	6
2021-12-08	33	50	7	3	69	24
2021-12-11	25	53	44	3	64	10
2021-12-13	10	37	59	53	30	4
2021-12-15	19	20	59	40	42	15
2021-12-18	61	24	51	6	2	1
2021-12-20	13	66	2	23	34	2
2021-12-22	16	68	48	7	19	15
2021-12-25	29	45	58	55	27	2
2021-12-27	62	45	36	64	38	19
2021-12-29	39	6	9	33	2	11
2022-01-01	39	48	12	50	6	7
2022-01-03	2	33	13	32	48	22
2022-01-05	25	6	14	33	46	17
2022-01-08	21	20	65	36	60	13
2022-01-10	17	21	14	27	18	9
2022-01-12	21	22	30	12	33	24
2022-01-15	3	59	37	51	18	13
2022-01-17	46	65	24	35	9	22
2022-01-19	11	43	61	15	55	10
2022-01-22	67	14	8	33	36	17
2022-01-24	11	53	47	30	29	16
2022-01-26	69	38	49	4	11	16
2022-01-29	54	2	15	65	38	11
2022-01-31	61	10	69	51	15	14
2022-02-02	33	62	18	63	29	15
2022-02-05	39	61	27	16	5	24
2022-02-07	65	5	15	38	47	10
2022-02-09	63	17	51	2	33	26
2022-02-12	10	8	41	21	62	7
2022-02-14	49	55	16	27	25	17
2022-02-16	40	22	48	30	42	16
2022-02-19	10	3	15	42	33	11
2022-02-21	37	45	36	69	2	3
2022-02-23	64	35	17	6	21	18
2022-02-26	48	32	36	64	15	19
2022-02-28	21	7	39	47	55	19
2022-03-02	63	61	48	19	37	12
2022-03-05	37	23	52	63	8	13
2022-03-07	59	67	10	55	43	2
2022-03-09	34	13	22	67	51	10
2022-03-12	19	39	37	61	20	8
2022-03-14	21	28	32	49	44	6
2022-03-16	58	35	28	34	3	17
2022-03-19	9	52	18	8	48	6
2022-03-21	26	15	65	63	1	16
2022-03-23	37	38	31	32	48	24
2022-03-26	2	50	10	59	61	6
2022-03-28	62	11	18	58	39	3
2022-03-30	37	3	31	21	7	11
2022-04-02	58	59	47	28	6	18
2022-04-04	2	39	69	32	46	6
2022-04-06	6	45	47	42	64	18
